ClassName	CodeNumb
unknown	0
L	1
H	2
A	3
R	4
Y	5
T	6
I	7
F	8
V	9
D	10
G	11
S	12
N	13
P	14
K	15
Q	16
E	17
C	18
W	19
M	20
*	21
