ClassName	CodeNumb
unknown	0
L	1
R	2
V	3
Y	4
T	5
F	6
A	7
Q	8
N	9
G	10
C	11
I	12
P	13
K	14
M	15
W	16
E	17
D	18
H	19
S	20
*	21
