ClassName	CodeNumb
unknown	0
D	1
F0	2
F1	3
R4	4
R2	5
R3	6
H3K9me1	7
R5	8
GM1	9
TF1	10
TF0	11
C1	12
TF2	13
C0	14
GE2	15
GE1	16
TSS	17
GS	18
GM0	19
L0	20
R1	21
R0	22
GE0	23
E/GM	24
L1	25
