ClassName	CodeNumb
DDOST	350
KIF17	351
SH2D5	352
HP1BP3	353
EIF4G3	354
ECE1	355
PPP1R11P1	356
PDE4DIPP10	357
NBPF2P	358
HS6ST1P1	359
CROCCP5	360
NBPF3	361
NBPF3;PFN1P10	362
ALPL	363
LINC02596	364
RAP1GAP	365
USP48	366
LDLRAD2	367
HSPG2	368
CELA3B	369
CELA3A	370
LINC01635	371
LINC01635;LINC00339	372
LINC00339	373
CDC42	374
WNT4	375
MIR4418	376
PPIAP34	377
ZBTB40	378
EPHA8	379
MIR6127	380
C1QA	381
C1QC	382
C1QB	383
EPHB2	384
LACTBL1	385
TEX46	386
KDM1A	387
LUZP1	388
HTR1D	389
LINC01355	390
HNRNPR	391
ZNF436	392
TCEA3	393
ASAP3	394
E2F2	395
ID3	396
MDS2	397
RPL11	398
ELOA	399
PITHD1	400
LYPLA2	401
HMGCL	402
FUCA1	403
CNR2	404
MIR378F	405
H3P1	406
PNRC2	407
SRSF10	408
MYOM3	409
IL22RA1	410
IFNLR1	411
GRHL3	412
GRHL3;LINC02800	413
GRHL3;STPG1	414
STPG1	415
NIPAL3	416
RCAN3AS	417
RCAN3AS;RCAN3	418
RCAN3	419
NCMAP	420
SRRM1	421
CLIC4	422
RUNX3	423
MIR4425	424
LINC02793	425
IFITM3P7	426
SYF2	427
RSRP1	428
RSRP1;RHD	429
RSRP1;RHD;SDHDP6	430
TMEM50A	431
RHCE	432
MACO1	433
LDLRAP1	434
MAN1C1	435
SELENON	436
MTFR1L	437
AUNIP	438
PAQR7	439
STMN1	440
PAFAH2	441
EXTL1	442
SLC30A2	443
TRIM63	444
PDIK1L	445
FAM110D	446
C1orf232	447
ZNF593OS	448
CNKSR1	449
CATSPER4	450
ZPLD2P	451
CEP85	452
SH3BGRL3	453
UBXN11	454
CD52	455
CRYBG2	456
ZNF683	457
LIN28A	458
DHDDS	459
HMGN2	460
DPPA2P2	461
RPS6KA1	462
RN7SL679P	463
ARID1A	464
PIGV	465
RN7SL165P	466
ZDHHC18	467
SFN	468
GPN2	469
GPATCH3	470
NUDC	471
KDF1	472
RPL12P13	473
RPL32P6	474
OSTCP2	475
TRNP1	476
TENT5B	477
SLC9A1	478
CHCHD3P3	479
NPM1P39	480
SNRPEP7	481
WDTC1	482
TMEM222	483
TMEM222;ACTG1P20	484
SYTL1	485
MAP3K6	486
FCN3	487
CD164L2	488
GPR3	489
WASF2	490
AHDC1	491
FGR	492
LINC02574	493
IFI6	494
CHMP1AP1	495
FAM76A	496
STX12	497
PPP1R8	498
THEMIS2	499
RPA2	500
SMPDL3B	501
XKR8	502
EYA3	503
SPCS2P4	504
PTAFR	505
DNAJC8	506
ATP5IF1	507
SESN2	508
MED18	509
PHACTR4	510
RCC1;SNHG3	511
RCC1;SNHG3;SNORA73A	512
RCC1;SNHG3;SNORA73B	513
RCC1	514
RCC1;PRDX3P2	515
TRNAU1AP	516
SNHG12	517
TAF12	518
TAF12;RAB42	519
RNU11	520
GMEB1	521
YTHDF2	522
OPRD1	523
EPB41	524
EPB41;TMEM200B	525
TMEM200B	526
SRSF4	527
MECR	528
PTPRU	529
LINC01756	530
LINC01648	531
MATN1	532
LAPTM5	533
LINC01778	534
RN7SKP91	535
SDC3	536
RN7SL371P	537
PUM1	538
SELENOWP1	539
NKAIN1	540
SNRNP40	541
ZCCHC17	542
FABP3	543
SERINC2	544
LDC1P	545
LINC01226	546
LINC01226;TINAGL1	547
TINAGL1	548
HCRTR1	549
HCRTR1;PEF1	550
PEF1	551
COL16A1	552
ADGRB2	553
SPOCD1	554
PTP4A2	555
KHDRBS1	556
TMEM39B	557
KPNA6	558
TXLNA	559
CCDC28B	560
IQCC	561
TMEM234	562
TMEM234;EIF3I	563
EIF3I	564
EIF3I;MTMR9LP	565
FAM167B	566
LCK	567
HDAC1	568
MARCKSL1	569
TSSK3	570
TSSK3;FAM229A	571
BSDC1	572
GAPDHP20	573
LRRC37A12P	574
RN7SL122P	575
ZBTB8B	576
ZBTB8A	577
ZBTB8OS	578
RBBP4	579
RBBP4;SYNC	580
SYNC	581
KIAA1522	582
YARS1	583
YARS1;S100PBP	584
S100PBP	585
FNDC5	586
HPCA	587
HPCA;TMEM54	588
TMEM54	589
RNF19B	590
AK2	591
AZIN2	592
TRIM62	593
ZNF362	594
A3GALT2	595
PHC2	596
TLR12P	597
ZSCAN20	598
CSMD2	599
CSMD2;HSPD1P14	600
CSMD2;HMGB4	601
C1orf94	602
MIR552	603
SMIM12	604
SMIM12;GJB5	605
SMIM12;GJB3	606
SMIM12;GJA4	607
DLGAP3	608
GPR199P	609
TMEM35B	610
ZMYM6	611
ZMYM1	612
ZMYM1;RPL12P45	613
EFCAB14P1	614
SFPQ	615
ZMYM4	616
ZMYM4;RN7SL503P	617
ZMYM4;KIAA0319L	618
KIAA0319L	619
NCDN	620
TFAP2E	621
PSMB2	622
C1orf216	623
CLSPN	624
AGO4	625
AGO1	626
AGO3	627
TEKT2	628
ADPRS	629
COL8A2	630
TRAPPC3	631
MAP7D1	632
RN7SL131P	633
THRAP3	634
THRAP3;UBE2V2P4	635
SH3D21	636
STK40	637
LSM10	638
OSCP1	639
MRPS15	640
CSF3R	641
FTLP18	642
GRIK3	643
MIR4255	644
RNA5SP43	645
RPS29P6	646
ZC3H12A	647
MEAF6	648
SNIP1	649
DNALI1	650
GNL2	651
RSPO1	652
C1orf109	653
CDCA8	654
EPHA10	655
ACTN4P2	656
MANEAL	657
MTF1	658
INPP5B	659
